id,question,answer
86,烤瓷牙容易出现的问题有哪些？,"答:由于瓷质修复体发展迅猛，从事此项修复工作的医生技术良莠不齐，适应症控制不严、以及医学本身发展过程中的缺陷和不可预料性。总是会产生各种不良后果，目前这些不良后果正逐渐呈现出来。并且有扩大化的倾向。主要包括以下几方面:：
1 ）修复体脱落 原因：固位力设计错误；修复体制作不精密；粘接不佳；咬合 力          过大等。处理：一般必须重新设计制作修复体。
2 ）咀嚼不适 原因：固位体设计错误；修复体有咬合高点；过敏、导电、粘接材料等引起牙髓刺激反应；修复体制作不精密引起牙周、牙髓反应。处理：除了咬合高点等少数病例，一般必须重新制作。
3 ）色泽欠佳 原因：修复体制作设计错误，瓷质层太薄；颜色没有选择正确；金属烤瓷牙本身存在的缺陷。处理：重新制作。
4 ） 形态欠佳 原因：修复体制作错误；牙齿本身形态位置条件不好。处理：重新设计制作；调改。
5 ） 龈缘着色 原因：修复体制作不精密；金属烤瓷牙本身存在的缺陷。处理：重新制作或选择性能更稳定的材料。
6 ） 崩瓷（烤瓷牙瓷质层和金属层分离，暴露出内层的金属颜色） 原因：修复体制作不精密；修复体设计不合理；咬和力过大。处理：替代品修复；重新制作。
7 ） 连同牙齿断裂 原因：修复体制作不精密；修复体制作设计错误；咬和力过大。处理：重新设计制作。
8 ） 牙龈牙周病变（牙出血、松动等） 原因：修复体制作不精密；过敏；口腔清洁不好。处理：牙周常规治疗；重新制作修复体。
9 ） 其它。
"
87,烤瓷牙齿能维持多久,"答:精良的烤瓷牙应该与真牙紧密结合，牙齿的正常形态得到恢复，不会对牙龈有所创伤；同时，瓷质修复体接近于牙齿的强度和硬度，所以能够长久保留。但是过大的咬合力，不良的卫生习惯或者牙齿本身有牙周病或者其它病变，导致牙根松动，牙齿就不能保留。
需要提醒一点：不良的烤瓷修复体与牙齿之间的边缘有间隙，或者牙齿与烤瓷牙之间产生悬突（一般在龈下位置，需要用细的探针仔细检查才能发现），牙龈就会产生红肿，导致人为的牙周病，会对牙齿有比较大的损伤，有可能影响烤瓷牙的寿命。
"
88,成人牙齿能矫治吗,"答：答案是肯定的，随着社会的进步，成年正畸患者日益增多，而正畸矫治技术的发展使成年人的这种愿望得以实现。目前，正畸患者年龄分布十分广泛：小到3、4岁的儿童，大到60的老年人 ，只要是您的牙齿及支持牙齿的牙周组织健康，甚至牙周病的病人得到牙周病得到控制以后，正畸医生同样会给您一个灿烂的微笑！
"
89,什么是冲牙器?有什么作用?,"答:冲牙器是一种根据高压水枪清洗污物的原理、利用脉冲水流冲洗牙体的牙齿清洁器械。冲牙器对于饭后的食物残渣，尤其是牙缝中的软垢和嵌塞的纤维性食物有非常好的清洁作用，但对于已经钙化的牙菌斑、牙结石和牙面上附着的色素则没有清除作用。在冲牙器的使用中我们需要注意以下问题：
(1)饭后使用效果最好。
(2)不能过度使用，不能将水压调节过大，否则会造成牙龈萎缩。
(3)不能替代牙刷、牙线等常规的牙齿清洁方法。
(4)不能替代定期的口腔超声波洁治术。
"
90,为什么有的龋病需要反复治疗多次？,"答:浅龋及中龋 ，往往一次备洞，充填即可治疗完毕。而深龋因已接近牙髓，有时需用药物安抚一次，使充血的牙髓得到恢复，二周后若冷热刺激疼消失，并没有发生自发痛方可做充填。
有的急性龋或青少年湿性龋，龋洞内软化牙本质多，湿而软，一次去腐则可能露髓，所以要采用分次去腐，待修复性牙本质形成后再作充填。
至于牙髓已经暴露的龋，不仅需用药将""牙神经""杀死，还得将髓腔，根管中的坏死牙髓组织作彻底处理后，方能最后充填完成治疗，自然就需要往医院多跑几次了。
"
91,只剩下牙根还能把牙冠恢复起来吗？,"答:医生通过X线检查可给你最后答案。一般地（特别是前牙）只要根管经过完善的治疗，根尖周围没有病变，牙根没有劈裂现象，根面的健全硬组织与牙龈齐平或在牙龈 以上时，就可以考虑利用牙根做固定修复。方法是把桩钉插入根管并粘固，再以此为基础做假牙恢复牙冠外形。这样的假牙叫作""桩冠""，比较美观舒服，咀嚼效能也不错。因此口腔内如有的牙冠破坏或折断只剩牙根时先不要急着拔除，口腔医生也许还能将它们利用来支撑您的假牙。
"
92,乳牙蛀了要不要治疗？,"一定要及时治疗。很多人认为乳牙要换，治不治无所谓，其实不然。原因如下：
1)在恒牙萌出前，儿童的进食及营养吸收都有赖于乳牙，否则影响生长发育；
2)患儿如果因为一侧牙病而长期单侧咀嚼，在这样一个生长高峰期，很容易形成不对称面形，并可能导致以后患关节病；
3)此时恒牙在发育中，如果乳蛀牙感染严重，可能累及恒牙胚，形成牙齿畸形；
4)在患儿身体状况不好时，牙齿的感染可能引起区域感染甚至扩散到全身。
"
93,幼儿也要刷牙吗？,"口腔卫生应该从小抓起。幼儿也要刷牙，从乳牙萌出时开始。而且，即使在乳牙长出前，父母也应为婴儿清理口腔，保持卫生。
"
94,什么是窝沟封闭？有什么好处？,"注意观察你会发现在后牙的咬合面有许多细细的沟纹，此既窝沟。如果窝沟较深，易患龋齿，尤其是口腔卫生自理较差的儿童。为了减少窝沟龋的发生，医生用牙科材料（常为光敏材料）将牙齿窝沟封闭起来，就叫做窝沟封闭。窝沟封闭可以在儿童尚未养成良好的口腔卫生习惯时，减少龋齿的发生，但并不可代替刷牙。
"
95,什么时候做窝沟封闭较好？,"乳磨牙一般在3岁封闭，第一磨牙一般在6-7岁封闭，第二磨牙一般在12-13岁。个人认为：1、窝沟封闭应仅限于深窝沟和刷不好牙的儿童；2、家长应该更多的教育儿童好好刷牙，而不应该太依赖窝沟封闭，譬如说12-13岁的孩子如果还刷不好牙，那就是个人原因了。
"
96,孩子的牙齿出现很多间隙，正常吗？,"是生长间隙。正常的。
孩子的牙槽骨是逐渐长大的，而乳牙的大小是不变的，于是出现生长间隙。当孩子换牙后，因为恒牙要比乳牙大，生长间隙将被利用。
"
97,孩子门牙摔断了，怎么办？,在最短的时间内就诊，时间将是决定治疗效果的重要因素。患者一般除了牙折外，一般伴牙周创伤，牙髓损伤，医生将根据患者情况进行调合，保护牙髓治疗。
98,我发现牙根位置的牙龈上长了一个脓包，常有东西流出，是怎么回事？,一般是对应的牙根发炎了，临床上称为慢性根尖炎。牙根长期炎症破坏牙槽骨，形成从根尖到牙龈的瘘管，炎症产生的分泌物便由此流出，‘脓包’就是瘘管口。需要拍片、做根管治疗。
99,我牙痛的厉害，要不要杀神经？具体怎么治疗？,"牙痛大致分三种：
1)冷热刺激痛、嵌塞食物痛，刺激去除后很快不痛，这一般是龋齿，治疗以保护牙神经为主；
2)除了冷热刺激痛，还有自发痛，尤其夜间痛，是为牙髓炎，这种神经已无法保留，必须杀神经，做根管治疗；
3)没有冷热刺激痛，有咬合痛，感觉牙伸长了，是根尖炎，神经已坏死了，要做根管治疗
"
100,什么叫根管治疗？,"牙齿的内部是空腔结构，包括髓腔与根管，其中为牙神经。牙痛一般是由于牙神经发炎或坏死引起的，根管治疗就是去除发炎或坏死的牙神经，经清理、消毒后，将根管及髓腔用充填材料严密充填，防止再次感染的治疗方法。
"
101,根管治疗和干髓治疗有什么不同？,对于发炎的牙神经，治疗方法一般有两种，一种是根管治疗，将神经取出并充填根管，治疗彻底；另一种方法叫干髓治疗，是将牙神经杀死后不取出，干尸化后留在其中，显而易见这种治疗不彻底。
102,有颗牙作过根管治疗了但还有瘘管，怎么办？,慢性根尖炎的牙齿如果瘘管形成的时间较长，根管治疗后瘘管可能无法自行愈合，这时需要作一个根尖的小手术把瘘管去掉即可。
103,乳牙可以做根管治疗吗？,乳牙得了根尖炎，如果距离换牙还有较长时间，需要做根管治疗。
104,我现在牙痛得厉害，该吃什么药？,牙痛与其他疼痛形成原因不同，主要是由于牙神经引起，口服止痛消炎药一般无效，需要医生检查后作相应的处理，使牙齿髓腔的压力或根尖的压力得到缓解，才可止痛。
105,我在做根管治疗，医生刚给封药（或根充），回家后感觉有些胀痛，有关系吗？,在做根管治疗过程中，根管消毒的药物在发挥杀菌消毒作用的同时，对根尖也会有一定刺激，感觉有一点酸胀是正常的，如果胀痛持续并有加重的趋势，请尽快复诊，作必要的处理。
106,我牙痛（种类咨询）？,"1)深龋齿疼痛：以冷热刺激痛、嵌塞食物痛为主，刺激去除后很快不痛；
2)牙髓炎：除了冷热刺激痛剧烈，持续时间长，还有自发痛，尤其夜间痛是其特点；
3)根尖炎：冷热刺激不痛，咬食物疼痛，感觉牙伸长了；
4)智齿冠周炎：后牙区胀痛，张闭口时加剧，口内可有咸味，严重时半侧面下部肿胀，张口受限。
"
107,补颗牙可以包用多久不掉？,"牙洞是否补得牢，和洞的大小以及洞的形状有关。一个小洞补了可能十几年都不掉，但如果是较大的洞，形状又是敞开的，也可能几天就掉了。当一个小洞反复补几次，洞就越来越大了，也就掉得越来越快了。如果总掉，恐怕是洞形太差、剩余牙体固定不住，建议还是做牙冠套好。
"
108,洗牙可以把牙齿变白吗？,"洗牙是把附着在牙面上、牙根面上的色素、菌斑牙石去掉，使牙齿健康的一种治疗。如果牙不白是因为牙面上有较多的色素，那么洗牙后色素没了，露出了牙齿本色，牙齿就显白了。但如果牙不白不是因为表面附着色素，而是牙本色不白，譬如黄牙、四环素牙，那洗牙就没变化了，而需要作牙齿美白治疗。
"
109,牙齿美白有效果吗？对牙齿有损伤吗？,"首先要肯定的是：美白治疗是有效果的。而对牙齿无损伤是它的优点。但它美白的程度不会像烤瓷牙那样一次产生巨大的变化，它是一个阶梯式的美白过程。需要半年到一年作一次，逐渐变白。
"
110,经常得口腔溃疡怎么治？,口腔溃疡一般无法根治，治疗分两方面：1、减轻疼痛、促进愈合的局部治疗，如使用溃疡膜、漱口液、打封闭、微波治疗等；2、减少发作频率的治疗，需要口服或注射药物，但同样的治疗不一定对每个人奏效。
111,我牙龈经常出血，可以治疗吗？,（首先询问病人是否自发出血，身体其他部位出血是否容易止血，有无皮下淤血，排除血液病）牙龈出血一般是由牙周病引起，只要定期洗牙，配合药物治疗，可以控制。一般一个月就可以解决。
112,洗牙会不会损害牙齿的‘珐琅质’，一般应该多久一次？,洗牙是通过超声震动或喷砂把附着在牙面上、牙根面上的色素、菌斑牙石去掉，并不是研磨牙面，所以不会损害牙齿的‘珐琅质’，但前提是不可以粗暴操作，要正规。一般一年一次就可以，如果牙思形成快，可以半年洗一次。
113,我有比较重的牙周病，请问你们有什么治疗方法？,牙周病治疗应该是有计划的序列治疗。第一个阶段主要是针对病因进行治疗，治疗的重点应集中于清除附着于牙齿或牙根部表面的牙石等感染物，可能包括洗牙、牙龈下刮治，翻瓣术等。第二阶段主要是支持性牙周治疗，每3—12个月接受一次专业性去除牙周感染物的护理，同时患者还应积极地配合保持口腔卫生。
